URL,Title,Company,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=966cafe479e400bd,2020년 하반기 한국통계정보원 통계 분야(경력),재단법인 한국통계정보원,대전 서구,,"통계업무 경험 보유 - 통계 관련 업무(SAS, R, SPSS, Python 등) 경험자 [우대조건] - SAS/SQL을 이용한 데이터 분석/개발... SAS, R, SPSS, Python 등) 경험자 [우대조건] - SAS..."
https://kr.indeed.com/viewjob?jk=32ddc43c9f967017,[빅데이터플랫폼] 데이터 플랫폼 운영자,한국카카오은행,성남 분당구,,"실무 경험이 있는 분 · 클라우드 및 가상화(Docker, Kubernetes) 사용 경험이 있는 분 · Python, Shell Script 로 개발 경험이 있는 분 [공통 우대 사항] · 국가유공자 및 장애인 등 취업보호..."
https://kr.indeed.com/viewjob?jk=d1e75364ef505c68,"데이터 가치를 함께 발굴하실 머신러닝, 통계 모델링 전문가 모집",카카오,성남 판교역,,해당 기술에 자신감이 있으신 분도 환영합니다. 지원자격 머신 러닝/통계 등 모델링에 활용하는 언어( Python/Scala/R 등) 및 도구(Tensor flow/Pytorch 등)를 하나 이상 능숙하게 다룰 수 있으신...
https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9,추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,,"관련 업무 경험자 우대사항 운영체제, 네트워크, 컴파일러, 데이터베이스에 대한 이해가 깊으신 분 Python, C++, GPU 프로그래밍 숙련자 대용량/실시간 서비스 개발/운영 경험이 많으신 분 ICPC/TopCoder..."
https://kr.indeed.com/viewjob?jk=20b2579f0a3cf84d,데이터베이스 관리자(DBA),넥스트플로어,서울 서초구,,"Schema 분석 및 튜닝) • MySQL Config 튜닝 가능한 자 • 스크립트 개발 (ex. Shell, Python) 1개 이상 보유자 [우대사항] • AWS Aurora DB 운영 경험자 • Game DB 운영 및..."
https://kr.indeed.com/viewjob?jk=c53e8bbdcd7076f2,[해외취업] 고급 IT 엔지니어,株式会社ASCOM,대한민국,,"일본어 능력은 상관없음.  python,C++,C,C#,ASP.net,JAVA,VB.net,swift,IOS,Android,kotlin 중 한가지 이상 개발 경력이 3년 이상인 자. [ python] * AI, 사물 인터넷..."
https://kr.indeed.com/viewjob?jk=6accdaa3b4a31fb6,"[청년 디지털 일자리] 어플리케이션, 소프트웨어 개발, 인공지능(AI),...",에이치엠,대구 동구,"월급 2,000,000원 - 2,200,000원",분석 알고리즘 개발 - 빅데이터 분석 능력(상관분석 등) - Data/Web Crawling 능력 - Python 기반 코딩 능력 [우대사항] - 정보처리기사 - 컴퓨터공학 관련 전공 상세모집요강 접수기간/방법 시작일...
https://kr.indeed.com/viewjob?jk=f4190a8dbb8c05b1,[AI R&D] Language AI(NLP) Research 분야 수시...,엔씨소프트,성남 판교역,,"분 - 통계/Machine Learning에 대한 이해와 활용 능력 및 text 처리 기술에 대한 경험 - Python, Java 등을 이용하여 NLP 기술을 구현 가능한 분 - 최신 기술(논문, 기술문서 등)을 습득하는..."
https://kr.indeed.com/viewjob?jk=f42c4371e63d7f32,Software Engineer - Embedded,GE Appliances,경기도 성남,,"C (must have) and C++(optional), lua(optional), python(optional) and Object Oriented Programming. Deep knowledge..."
https://kr.indeed.com/viewjob?jk=de7daa65f0e8403c,Associate Application Engineer - EBS,Siemens AG,경기도 성남,,Knowledge... programming language like Visual Basic or Python is also highly desirable. Organization: Digital Industries...
